# R Generated Color Map File
INTERPOLATION:EXACT
1005,152,245,255,255, 1005
1010,152,245,255,255, 1010
1016,152,245,255,255, 1016
1018,255,130,71,255, 1018
1024,255,130,71,255, 1024
1025,255,130,71,255, 1025
1026,255,130,71,255, 1026
1029,127,255,0,255, 1029
1030,127,255,0,255, 1030
1033,255,48,48,255, 1033
1039,221,160,221,255, 1039
1042,221,160,221,255, 1042
1096,255,130,71,255, 1096
1097,127,255,0,255, 1097
1098,255,130,71,255, 1098
1100,255,130,71,255, 1100
1101,127,255,0,255, 1101
1102,221,160,221,255, 1102
1103,221,160,221,255, 1103
1107,255,130,71,255, 1107
1113,255,48,48,255, 1113
1135,255,130,71,255, 1135
1136,255,130,71,255, 1136
1137,127,255,0,255, 1137
1142,255,130,71,255, 1142
1148,221,160,221,255, 1148
1159,255,130,71,255, 1159
1160,221,160,221,255, 1160
1161,255,48,48,255, 1161
1162,255,130,71,255, 1162
1163,127,255,0,255, 1163
1164,255,130,71,255, 1164
1165,255,130,71,255, 1165
1166,127,255,0,255, 1166
1167,255,130,71,255, 1167
1168,221,160,221,255, 1168
1169,255,48,48,255, 1169
1170,255,130,71,255, 1170
1171,255,130,71,255, 1171
1172,255,48,48,255, 1172
1173,221,160,221,255, 1173
1174,255,130,71,255, 1174
1175,255,130,71,255, 1175
1176,127,255,0,255, 1176
1177,255,48,48,255, 1177
1178,221,160,221,255, 1178
1179,255,130,71,255, 1179
1180,127,255,0,255, 1180
1181,255,130,71,255, 1181
1182,255,130,71,255, 1182
1183,255,130,71,255, 1183
1184,221,160,221,255, 1184
1185,255,48,48,255, 1185
1186,255,130,71,255, 1186
1187,221,160,221,255, 1187
1188,255,48,48,255, 1188
1189,255,130,71,255, 1189
1190,221,160,221,255, 1190
1191,255,48,48,255, 1191
1192,255,130,71,255, 1192
1193,255,130,71,255, 1193
1194,127,255,0,255, 1194
1195,127,255,0,255, 1195
1196,255,130,71,255, 1196
1197,255,130,71,255, 1197
1198,221,160,221,255, 1198
1199,127,255,0,255, 1199
1200,255,48,48,255, 1200
